naics,name,pci,rca,alm_emp,oked,oked_name
327120,Clay Building Material and Refractories Manufacturing ,0.37,3.79,689,2332,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины"
561491,Repossession Services ,0.36,1.33,107,8299,"Прочие виды вспомогательного обслуживания хозяйственной деятельности, не включенные в другие категории"
311111,Dog and Cat Food Manufacturing ,0.36,1.07,197,1091,"Производство готовых кормов для животных, содержащихся на фермах"
114210,Hunting and Trapping,0.36,8.97,71,170,"Охота и отлов, включая предоставление услуг в этих областях"
712130,Zoos and Botanical Gardens ,0.36,2.01,951,9104,"Деятельность ботанических садов, зоопарков и заповедников"
541720,Research and Development in the Social Sciences and Humanities ,0.36,1.75,1114,7220,Исследования и экспериментальные разработки в области общественных и гуманитарных наук
561611,Investigation Services ,0.35,4.65,2419,8010,Деятельность частных охранных служб
424470,Meat and Meat Product Merchant Wholesalers ,0.35,1.36,894,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
316998,All Other Leather Good and Allied Product Manufacturing ,0.35,5.35,324,1520,Производство обуви
321211,Hardwood Veneer and Plywood Manufacturing ,0.34,1.82,91,1621,"Производство шпона, фанеры, плит и панелей"
711190,Other Performing Arts Companies ,0.34,1.8,167,9001,Продюсерская деятельность
424410,General Line Grocery Merchant Wholesalers ,0.3,1.36,2819,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",0.28,1.52,141,2332,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины"
331110,Iron and Steel Mills and Ferroalloy Manufacturing ,0.28,1.88,1104,2410,"Производство чугуна, стали и ферросплавов"
481219,Other Nonscheduled Air Transportation ,0.26,1.08,60,5110,Воздушный пассажирский транспорт
541810,Advertising Agencies,0.23,3.25,9263,7311,Деятельность рекламных агентств
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,0.22,1.36,1775,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
221121,Electric Bulk Power Transmission and Control ,0.22,1.82,304,3512,Передача электроэнергии
423220,Home Furnishing Merchant Wholesalers ,0.22,1.44,1771,4646,Оптовая торговля фармацевтическими товарами
114119,Other Marine Fishing ,0.2,2.02,2,312,Пресноводное рыболовство
541930,Translation and Interpretation Services,0.2,2.16,1213,7490,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории"
712190,Nature Parks and Other Similar Institutions,0.19,2.01,146,9104,"Деятельность ботанических садов, зоопарков и заповедников"
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",0.18,2.16,764,7490,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории"
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,0.18,1.36,606,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.18,1.03,407,2910,Производство автотранспортных средств
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,0.16,1.23,544,2030,"Производство красок, лаков и аналогичных красящих веществ, типографской краски и мастики"
551111,Offices of Bank Holding Companies ,0.13,1.45,76,6420,Деятельность холдинговых компаний
424420,Packaged Frozen Food Merchant Wholesalers ,0.12,1.36,1305,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
481211,Nonscheduled Chartered Passenger Air Transportation ,0.11,1.08,557,5110,Воздушный пассажирский транспорт
561492,Court Reporting and Stenotype Services ,0.11,1.33,220,8299,"Прочие виды вспомогательного обслуживания хозяйственной деятельности, не включенные в другие категории"
336211,Motor Vehicle Body Manufacturing ,0.09,1.07,480,2910,Производство автотранспортных средств
424940,Tobacco and Tobacco Product Merchant Wholesalers ,0.08,1.36,775,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
512110,Motion Picture and Video Production ,0.08,1.83,4089,5911,"Деятельность по производству кино-, видеофильмов и телевизионных программ"
325180,Other Basic Inorganic Chemical Manufacturing ,0.06,1.39,472,2015,Производство удобрений и азотосодержащих соединений
221113,Nuclear Electric Power Generation ,0.05,1.82,429,3512,Передача электроэнергии
336510,Railroad Rolling Stock Manufacturing,0.05,1.01,203,2910,Производство автотранспортных средств
