fips,county,cbsa,msa_name,cluster_core,county_cat,is_center,naics,industry,estabs,emp,wages,avg_pay,weekly_wage,lq_emp,lq_pay,disclosure_code
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212390,NAICS 212390 Other nonmetallic mineral mining and quarrying,4,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213111,NAICS 213111 Drilling oil and gas wells,7,23,1934604,85350,1641,0.03,0.75,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213112,NAICS 213112 Support activities for oil and gas operations,17,30,3699706,122304,2352,0.01,1.17,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213113,NAICS 213113 Support activities for coal mining,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213114,NAICS 213114 Support activities for metal mining,7,126,13787692,109209,2100,1.73,0.97,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213115,NAICS 213115 Support activities for nonmetallic minerals (except fuels) mining,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221111,NAICS 221111 Hydroelectric power generation,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221113,NAICS 221113 Nuclear electric power generation,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221114,NAICS 221114 Solar electric power generation,25,260,32015740,123256,2370,1.24,1.08,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221115,NAICS 221115 Wind electric power generation,5,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221117,NAICS 221117 Biomass electric power generation,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221118,NAICS 221118 Other electric power generation,5,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221121,NAICS 221121 Electric bulk power transmission and control,5,57,6335439,110986,2134,0.15,0.8,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221122,NAICS 221122 Electric power distribution,8,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221210,NAICS 221210 Natural gas distribution,16,503,45248696,89898,1729,0.3,0.68,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221310,NAICS 221310 Water supply and irrigation systems,50,1208,115402739,95506,1837,1.65,1.31,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221320,NAICS 221320 Sewage treatment facilities,4,17,1112434,64489,1240,0.17,0.94,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,236115,NAICS 236115 New single-family housing construction (except for-sale builders),644,8557,830414803,97046,1866,1.54,1.28,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,236116,NAICS 236116 New multifamily housing construction (except for-sale builders),93,755,82726980,109596,2108,1.13,1.1,
